Folder Name,Place Name,Confidence Score,Biblical References URLs,Biblical References,Coordinates,US Matching Cities,US Matching States,Place Type,Confidence Numeric
Apollonia,Apollonia,Most Likely,https://www.biblegateway.com/passage/?search=Acts.17.1&amp;version=ESV,Acts:17:1,"23.489639,40.643194","Apollonia (Wisconsin) - hamlet: 45.449964,-91.3015447",Wisconsin,hamlet,100
Arab,Arab,Most Likely,https://www.biblegateway.com/passage/?search=Josh.15.52&amp;version=ESV,Joshua 15:52,"35.02957,31.43188","Arab (Alabama) - village: 34.3181497,-86.4958219; Arab (Missouri) - hamlet: 37.0708851,-90.1195455; Arab (Missouri) - hamlet: 37.0936629,-90.0767666",Alabama; Missouri,hamlet; village,100
Arabia 1,Arabia,Most Likely,https://www.biblegateway.com/passage/?search=Jer.25.24&amp;version=ESV,Jeremiah 25:24,"46.552684,29.100273 44.715219,29.196033 42.085599,31.111658 40.413254,31.948076 39.200916,32.154338 37.006171,31.50064 37.997146,30.500661 37.505505,30.000769 36.784903,29.867901 36.072812,29.183401 34.957163,29.356106 34.571034,28.096175 35.222334,28.046521 37.239083,25.190222 37.155208,24.823834 37.426918,24.369397 38.463171,23.780694 39.113265,22.526225 38.93004,22.012118 39.172439,21.779023 39.190219,21.101647 39.730523,20.391647 40.75593,19.778557 41.638534,17.997428 42.318148,17.436428 42.83138,16.190734 42.677223,15.688416 42.8103,15.280105 42.598942,15.228503 42.944571,14.923925 43.468106,12.673867 45.028142,12.750895 45.662866,13.350703 46.700724,13.429404 47.977117,14.050316 48.683285,14.04569 49.347048,14.640919 52.195361,15.609998 52.150592,15.986543 52.475232,16.431033 54.048019,16.991036 55.020497,17.000475 55.426355,17.817317 56.354085,17.920083 56.790368,18.740697 57.840664,18.999959 57.676889,19.706838 57.824284,20.201791 58.180743,20.624268 58.209048,20.397612 58.520274,20.41603 59.823822,22.292675 59.797585,22.536882 59.290457,22.764747 58.753757,23.522954 56.912798,24.144064 56.375426,24.977273 56.273845,25.706125 56.52156,26.317879 56.378704,26.388557 56.415962,26.205003 56.208245,26.253527 55.345647,25.199515 54.671877,24.814196 54.514247,24.314448 54.128036,24.328401 54.016951,24.185152 54.175433,24.188173 53.803968,24.049843 52.590281,24.214843 52.242452,23.970315 51.831482,23.986257 51.597506,24.379798 51.276815,24.294166 51.504991,24.574401 51.213623,24.620143 51.369095,24.580011 51.656581,25.029115 51.474149,25.513766 51.657861,25.926819 51.264525,26.156949 51.033925,26.043673 50.969103,25.600658 50.756803,25.504118 50.769988,24.71877 50.000305,25.989164 50.240762,26.370728 49.99452,26.744755 50.159171,26.64698 49.583662,27.092148 49.487681,27.304013 49.702123,27.300766 49.48641,27.344645 49.441679,27.081499 49.122844,27.40608 49.312348,27.424965 49.221662,27.569714 48.848542,27.603241 48.101384,29.352594 47.702785,29.359877 48.188363,29.546838 48.007887,29.986786 47.189553,30.02835 46.552684,29.100273","Arabia (Indiana) - hamlet: 39.7661501,-87.3219602; Arabia (Ohio) - hamlet: 38.6581354,-82.4734899; Arabia (New York) - hamlet: 42.2998056,-75.0551653; Arabia (Nebraska) - hamlet: 42.7311139,-100.372629; Arabia (North Carolina) - hamlet: 34.9501647,-79.1255876",Indiana; Nebraska; New York; North Carolina; Ohio,hamlet,100
Ararat,Ararat,Most Likely,https://www.biblegateway.com/passage/?search=Jer.51.27&amp;version=ESV,Jeremiah 51:27,"44.300381,39.702761","Ararat (Virginia) - hamlet: 36.599025,-80.5106192; Ararat Township (Pennsylvania) - city: 41.8295266,-75.5246274; Ararat (Alabama) - hamlet: 31.9682064,-88.1466822; Ararat (South Carolina) - hamlet: 32.9785061,-80.0034188; Ararat (North Carolina) - hamlet: 36.4040253,-80.5606167; Ararat (Georgia) - hamlet: 32.0612875,-83.1262618; Ararat Township (Pennsylvania) - city: 41.81260295,-75.51687124879845",Alabama; Georgia; North Carolina; Pennsylvania; South Carolina; Virginia,city; hamlet,100
Ariel,Ariel,Most Likely,https://www.biblegateway.com/passage/?search=Isa.29.1&amp;version=ESV; https://www.biblegateway.com/passage/?search=Isa.29.2&amp;version=ESV; https://www.biblegateway.com/passage/?search=Isa.29.7&amp;version=ESV,"Isaiah 29:1, Isaiah 29:2, Isaiah 29:7","35.234167,31.776667","Ariel (Mississippi) - hamlet: 31.1007315,-90.9873252; Ariel (Washington) - hamlet: 45.9571425,-122.5706851; Ariel Crossroads (South Carolina) - hamlet: 34.0762781,-79.3025075",Mississippi; South Carolina; Washington,hamlet,100
Asia,Asia,Most Likely,https://www.biblegateway.com/passage/?search=Rom.16.5&amp;version=ESV,Rom:16:5,"28.3,38.4","Asia (Tennessee) - hamlet: 35.2439711,-86.0902624; Asia (Texas) - hamlet: 30.9982445,-94.8693755",Tennessee; Texas,hamlet,100
Assyria,Assyria,Most Likely,https://www.biblegateway.com/passage/?search=Zeph.2.13&amp;version=ESV,Zephaniah 2:13,"43.1528,36.3594","Assyria (Michigan) - village: 42.464482,-85.1313852",Michigan,village,100
Athens,Athens,Most Likely,https://www.biblegateway.com/passage/?search=Acts.17.15&amp;version=ESV; https://www.biblegateway.com/passage/?search=Acts.17.16&amp;version=ESV; https://www.biblegateway.com/passage/?search=Acts.17.21&amp;version=NLT; https://www.biblegateway.com/passage/?search=Acts.17.22&amp;version=ESV; https://www.biblegateway.com/passage/?search=Acts.18.1&amp;version=ESV,"Acts:17:15, Acts:17:16, Acts:17:21, Acts:17:22, Acts:18:1","23.726738,37.971851","Athens (Georgia) - city: 33.9597677,-83.376398; Athens (Ohio) - town: 39.3289242,-82.1012479; Athens (Texas) - town: 32.2044416,-95.854914; Athens (Alabama) - town: 34.8045487,-86.9711698; Athens (Tennessee) - town: 35.4428864,-84.5930113; Village of Athens (New York) - village: 42.2603648,-73.8095707; Athens (West Virginia) - village: 37.4223414,-81.0161994; Athens (Vermont) - village: 43.1332233,-72.5679131; Athens (Maine) - town: 44.923488,-69.673233; Athens (Pennsylvania) - village: 41.9572965,-76.5179991; Athens (Wisconsin) - village: 45.0349745,-90.0738874; Athens (Illinois) - village: 39.9608826,-89.7239944; Town of Athens (New York) - village: 42.2603648,-73.8095707; Athens (Michigan) - village: 42.0886576,-85.2347052; Athens (Louisiana) - village: 32.6504281,-93.025717; Athens (Indiana) - village: 41.0541717,-86.1255059; Athens (Virginia) - hamlet: 37.9926365,-77.417203",Alabama; Georgia; Illinois; Indiana; Louisiana; Maine; Michigan; New York; Ohio; Pennsylvania; Tennessee; Texas; Vermont; Virginia; West Virginia; Wisconsin,city; hamlet; town; village,100
Attalia,Attalia,Most Likely,https://www.biblegateway.com/passage/?search=Acts.14.25&amp;version=ESV; https://www.biblegateway.com/passage/?search=Acts.14.26&amp;version=NIV,"Acts:14:25, Acts:14:26","30.703614,36.881272","Attalia (Washington) - hamlet: 46.1079122,-118.9200008",Washington,hamlet,100
Babel (Babylon),Babel,Most Likely,https://www.biblegateway.com/passage/?search=Gen.10.10&amp;version=ESV; https://www.biblegateway.com/passage/?search=Gen.11.9&amp;version=ESV,"Genesis 10:10, Genesis 11:9","44.422222,32.543333","Babel Heights (Maryland) - hamlet: 39.4881577,-76.968314",Maryland,hamlet,100
